transaction_date,brand_name,outlet_name,channel,ad_spend,transaction_hour,order_type,total_orders,total_completed_orders,total_sales,total_promo_orders,total_promo_sales,total_non_promo_orders,total_non_promo_sales,platform_promo_spend,clicks,impressions,reach
2020-01-01,Pizzeria,Pizzeria - Central,Platform A,0,17,DELIVERY,1,1,42.8,0,0,1,42.8,0,,,
2020-01-01,Pizzeria,Pizzeria - Central,Platform A,0,20,DELIVERY,1,1,48.15,0,0,1,48.15,0,,,
2020-01-01,Pizzeria,Pizzeria - Central,Facebook,16.49,,,,,,,,,,,27,2377,1797
2020-01-01,Pizzeria,Pizzeria - Central,Facebook,17.64,,,,,,,,,,,21,1124,575
2020-01-01,Pizzeria,Pizzeria - Central,Facebook,17.72,,,,,,,,,,,37,4477,4088
2020-01-01,Pizzeria,Pizzeria - Central,Facebook,40.69,,,,,,,,,,,69,12997,11876
2020-01-01,The Beach,The Beach,Facebook,1.1,,,,,,,,,,,6,162,162
2020-01-02,Pizzeria,Pizzeria - Central,Platform A,0,20,DELIVERY,1,1,48.15,0,0,1,48.15,0,,,
2020-01-02,Pizzeria,Pizzeria - Central,Platform A,0,10,DELIVERY,1,1,34.24,0,0,1,34.24,0,,,
2020-01-02,Pizzeria,Pizzeria - Central,Platform A,0,19,DELIVERY,1,1,25.68,0,0,1,25.68,0,,,
2020-01-02,Pizzeria,Pizzeria - Central,Platform A,0,12,DELIVERY,1,1,29.96,0,0,1,29.96,0,,,
2020-01-02,Pizzeria,Pizzeria - Central,Facebook,16.73,,,,,,,,,,,16,2439,1921
2020-01-02,Pizzeria,Pizzeria - Central,Facebook,17.62,,,,,,,,,,,13,1197,620
2020-01-02,Pizzeria,Pizzeria - Central,Facebook,17.64,,,,,,,,,,,44,4358,4066
2020-01-02,Pizzeria,Pizzeria - Central,Facebook,41,,,,,,,,,,,87,14632,13768
2020-01-02,Louvré,Louvré,Facebook,2.69,,,,,,,,,,,16,344,337
2020-01-03,Pizzeria,Pizzeria - Central,Platform A,0,19,DELIVERY,2,2,53.5,0,0,2,53.5,0,,,
2020-01-03,Pizzeria,Pizzeria - Central,Platform A,0,18,DELIVERY,1,1,25.68,0,0,1,25.68,0,,,
2020-01-03,Pizzeria,Pizzeria - Central,Platform A,0,20,DELIVERY,1,1,53.5,0,0,1,53.5,0,,,
2020-01-03,Pizzeria,Pizzeria - Central,Platform A,0,14,DELIVERY,1,1,67.41,0,0,1,67.41,0,,,
2020-01-03,Pizzeria,Pizzeria - Central,Facebook,16.56,,,,,,,,,,,22,2416,1988
2020-01-03,Pizzeria,Pizzeria - Central,Facebook,17.77,,,,,,,,,,,17,1210,603
2020-01-03,Pizzeria,Pizzeria - Central,Facebook,17.93,,,,,,,,,,,41,4786,4487
2020-01-03,Pizzeria,Pizzeria - Central,Facebook,42.21,,,,,,,,,,,67,14954,13648
